datetime,open,high,low,close
2016-07-04,658.80402,683.66199,650.508,683.66199
2016-07-05,683.20898,683.49103,665.06598,670.62701
2016-07-06,670.41803,681.89801,670.41803,677.33099
2016-07-07,678.09003,682.43201,611.83398,640.56201
2016-07-08,640.68799,666.70697,636.46698,666.52301
2016-07-09,666.38397,666.38397,633.39899,650.96002
2016-07-10,650.599,652.29401,641.26398,649.35999
2016-07-11,648.48401,659.62903,644.97998,647.659
2016-07-12,648.28302,675.25897,646.77899,664.55103
2016-07-13,664.797,668.70001,654.46802,654.46802
2016-07-14,652.92297,662.90198,652.92297,658.078
2016-07-15,659.17102,667.07703,659.03998,663.255
2016-07-16,663.78101,666.46002,659.33398,660.76703
2016-07-17,661.99298,682.36499,661.99298,679.45898
2016-07-18,679.80902,681.55499,668.625,673.10602
2016-07-19,672.73798,673.27698,667.63202,672.86401
2016-07-20,672.80603,672.92902,663.35999,665.685
2016-07-21,665.22803,666.21899,660.41498,665.01202
2016-07-22,664.922,666.58301,646.72198,650.61902
2016-07-23,650.72601,656.36603,648.52399,655.55603
2016-07-24,655.40997,663.10999,652.79303,661.28497
2016-07-25,661.263,661.828,653.39502,654.09698
2016-07-26,654.22601,656.22498,645.87903,651.784
2016-07-27,651.62701,657.45599,648.44702,654.35199
2016-07-28,654.492,657.59497,654.492,655.03497
2016-07-29,655.11102,657.79602,654.78601,656.992
2016-07-30,657.01202,658.22302,654.20898,655.047
2016-07-31,655.09998,655.28497,624.36499,624.68103
2016-08-01,624.60199,626.11902,605.88397,606.27197
2016-08-02,606.39697,612.84802,531.33398,547.46503
